urlDrugName;rating;effectiveness;sideEffects;condition
cyproheptadine;3;3;1;allergy, runny nose, hay fever
maxalt;9;4;4;migraine
cipro;1;0;0;prostate procedure
cozaar;10;4;4;high blood pressure
ritalin;10;4;3;adult add
lunesta;10;4;4;insomnia
trazodone;10;4;3;problem staying asleep
zofran;5;4;3;nausea
ambien;7;2;3;insomnia
lexapro;8;3;3;depression and anxiety
lamictal;8;3;3;bipolar ii
aromasin;9;3;4;breast cancer
elidel;6;2;4;eczema
oxycodone;6;3;2;pain
diflucan;3;2;2;yeast infection
flexeril;7;3;2;back pain
paxil;8;4;2;depression and anxiety.
zoloft;7;4;2;depression/anxiety
albuterol;9;4;3;asthma
chantix;10;4;4;qit smoking
methadone;6;4;3;opiod addiction
prednisone;2;4;0;cornea transplant rejection
vyvanse;9;4;4;inattention  and disorganization
propecia;1;1;0;thinning hair
neurontin;6;2;3;low back pain, radiating to left leg
benicar;8;2;3;hypertension/high blood pressure
paxil;3;2;1;depression/anxiety/ptsd
glucophage;8;3;3;elevated glucose
lamotrigine;9;4;3;bipolar disorder
toradol;8;3;2;pain after dental surgery
lexapro;2;3;2;depression
lidex;7;3;4;dermatitis
paxil;4;3;2;panic attack and anxiety
retin-a;8;4;2;acne
nexium;10;4;4;acid reflux
effexor-xr;9;4;4;major depression
prevacid;1;0;0;indigestion
synthroid;10;3;4;hypthyroidsim
retin-a;8;2;3;adult acne
pristiq;7;4;2;migraine headaches
duac;3;0;4;skin probles - acne, balckheads
diclofenac;6;4;2;pinched nerve from bulging disc & disseminated pai
seroquel;8;3;2;bipolar/raciness/insomnia
levoxyl;8;3;2;hypothyroidism
valtrex;10;4;3;herpes
klonopin;7;2;2;anxiety
concerta;8;4;2;addh
estratest;10;4;3;menopausal symptoms
vicodin;7;4;2;pain from broken arm
mobic;9;3;4;arthritis
keppra;10;4;3;simple partial seizure
lipitor;7;4;3;high blood pressure
minoxidil;9;4;3;hair loss
lamotrigine;7;4;2;major depression
citalopram;9;3;3;depression
motrin;10;4;4;back stiffness
renova;6;1;3;wrinkles
yasmin;1;3;0;birth control
armour-thyroid;10;4;4;hypothyriodism--hashimoto's thyroiditis
paxil;10;4;4;depression
flonase;9;4;3;seasonal allergies
wellbutrin-xl;10;4;4;depression
lamotrigine;3;1;1;borderline personality disorder, bi polar
spironolactone;8;4;3;pcos
norvasc;10;4;4;blood pressure
imitrex;10;4;4;migraine headaches
biaxin;10;4;3;sinus infection with smelly nasal discharge
seroquel;8;3;2;anxiety/mild ptsd
benzaclin;8;3;2;acne
xanax;10;4;4;tension and anxiety
byetta;8;3;3;diabetes type ii
diclofenac;7;3;3;illiotibital tibital syndrom
zomig;8;3;2;cluster headache
doxycycline;9;4;4;gonorrhea
prinivil;10;4;4;high blood pressure
ambien;10;4;3;insomnia
nuvaring;8;4;4;contraception
lexapro;7;3;2;depression/anxiety
diovan;8;3;2;high blood pressure
proquin-xr;5;2;2;chest infections
cozaar;9;4;4;blood pressure
protonix;9;4;3;sore throat/dryness
omnicef;2;4;1;sinusitis
neurontin;8;3;4;insomnia due to peri-menopause
adipex-p;10;4;0;weightloss
plavix;10;3;4;r.a.
nexium;5;3;1;burning feeling in throat and chest
clindamycin;7;3;2;staph infection
tramadol;5;3;3;lower back pain and migraine
differin;10;3;4;acne
augmentin;1;0;1;sinus infection
penlac;1;0;4;toe nail fungus
hydrocodone-and-acetaminophen;9;3;3;cervical spondylosis
hyzaar;7;3;2;high blood pressure
minocycline;8;3;3;severe acne
premarin;10;4;4;post menapause symptoms
lipitor;8;3;4;high cholesterol
propranolol;9;4;3;performance anxiety / social anxiety
aciphex;10;4;4;acid reflux
cymbalta;9;4;3;depression
claritin;9;4;4;seasonal allergies
avelox;1;0;0;sinus infection
doryx;8;4;3;acne
neurontin;7;3;2;nerve condition, burning in legs and aching feet
doryx;6;2;3;acne
fosamax;1;0;1;early onset osteoporosis
ventolin-hfa;10;4;4;asthma
topamax;1;3;0;severe headaches
prilosec;4;2;4;gerd
neurontin;3;1;0;neuropathic pain from botched surgery
nasacort;9;4;4;perenniel rhinitis
erythra-derm;10;4;4;acne
bisoprolol;10;4;4;palpitations
tri-luma;4;0;3;hyperpigmentation all over face
doryx;1;0;2;acne
accutane;8;4;2;acne
lamictal;10;4;4;bipolar depression
seasonique;1;0;0;birth control
differin;6;1;4;acne
diazepam;3;1;2;depression
imitrex;10;4;4;migraine
diclofenac;7;3;3;illiotibital tibital syndrom
nuvaring;1;4;0;birth control
retin-a;2;1;3;acne
asacol;7;4;4;ulcerative cholitis
effexor;8;4;2;depression and anxiety
minocycline;6;2;2;acne
spironolactone;9;4;3;acne
lexapro;7;3;2;anxiety, depression
sarafem;4;1;2;depression
nuvigil;10;4;4;originally sleep apnea
lamotrigine;2;2;0;depression/anxiety
lamictal;3;2;1;bipolar depression
tramadol;1;2;1;severe pain
xanax;10;4;3;panic attacks
metrogel;8;3;4;rosacea
inderal;9;3;4;essential tremor
plavix;7;4;2;strokes
augmentin;1;0;1;ear infection
ultram;10;4;3;rheumatoid arthritis
naproxen;3;0;2;juvenile idiopathic arthritis
metformin;8;3;3;none
sulfasalazine;10;4;4;ulcerative colitis
protonix;1;0;0;gastrointestinal disorder
tamiflu;10;4;4;family flu outbreak
celebrex;1;3;0;arthritis pain
yasmin;8;4;4;birth control
hyoscyamine;9;3;4;irritable bowel syndrome
sarafem;10;4;4;depression
lexapro;6;1;4;depression
ortho-tri-cyclen;9;4;3;contraceptive
accutane;6;4;2;acne
propecia;9;4;3;male pattern hair loss
flexeril;8;4;1;sever muscle spasms lower back
tri-luma;5;2;2;facial hyperpigmentation
imitrex;5;4;2;migraine
botox;8;4;3;wrinkles, furrows
zomig;10;4;3;migraine
emsam;9;3;4;depression
vyvanse;10;4;4;adhd
flexeril;8;3;3;migaine/tension headches
anafranil;9;3;3;ocd
ambien;1;0;1;not sleeping
alprazolam;10;4;4;panic disorder
vivelle-dot;10;4;4;hormone replacement
climara;10;4;3;menopausal
botox;9;4;3;facial lines
neurontin;8;3;2;depression
evista;9;2;1;atypical breast biopsy
chantix;8;3;2;smoking ceasation
femhrt;5;2;2;menopause
requip;8;3;4;restless leg syndrome
prozac;8;3;3;anxiety
zoloft;5;4;2;post partum anxiety/ depression
ultram;10;4;4;fibromyalgia
xanax;10;4;3;anxiety
claritin;5;2;3;allergies
benadryl;7;3;1;allergic reaction
skelaxin;7;3;3;neck & arm muscle spasms
differin;8;3;2;redness
zoloft;9;2;3;pmd
restoril;8;2;4;insomnia
diflucan;3;1;4;candida caused yeast infection
neurontin;10;4;2;chronic pain
adderall-xr;9;3;3;adhd
retin-a;3;1;2;acne
zofran;10;4;4;nausea
paxil;10;3;3;anxiety
meridia;8;4;3;weight loss
acyclovir;10;3;4;shingles
abilify;10;4;4;depression/anxiety
minocycline;3;1;4;acne
omnicef;1;0;0;strep throat
remeron;8;4;3;ibs/anxiety
prozac;9;4;3;depression
prinivil;9;4;3;hypertension
nexium;8;3;4;acute peptic ulcer
elidel;8;3;4;rashes
omnicef;2;3;1;strep throat
proair-hfa;8;3;4;asthma flares
flexeril;8;4;2;muscle spasms
differin;7;3;3;acne
prevacid;5;3;2;acid reflux
vyvanse;8;4;1;add
effexor-xr;9;4;3;depression/anxiety
wellbutrin-xl;8;2;3;depression
coreg;6;3;2;heart
nexium;8;3;4;heart burn
kenalog;2;0;2;acne
zithromax;1;0;4;bronchitis
adderall;9;3;2;attention deficit disorder
niaspan;8;4;2;high lpa
protonix;7;2;3;gerd
elavil;10;4;3;migraines
metformin;7;3;4;diabetes
tramadol;8;3;2;collar bone injury
premarin;10;4;4;hrt
strattera;1;0;0;adhd
effexor;5;2;2;depression
tramadol;10;4;3;post-surgical pain
retin-a;7;3;2;aging skin
retin-a;8;3;3;sun damage to skin
citalopram;9;4;3;insomnia
symbicort;1;2;0;asthma
climara;8;4;3;complete hysterectomy
alprazolam;8;2;3;tinnitus
fluconazole;8;2;3;rash
evista;3;0;2;osteoporosis
seroquel;10;4;3;schizo-affective disorder
lorazepam;5;4;2;anxiety
retin-a;10;4;1;acne
flagyl;5;3;2;tooth abscess
plavix;7;3;4;replacement of femoral vein in leg
percocet;6;3;2;pain/headaches
clonazepam;4;4;2;anxiety/insomnia/
ribavirin;10;4;1;hepatitis c
lexapro;1;0;0;depression
humira;10;4;4;ankylosing spondylitis
wellbutrin;9;3;3;depression
lyrica;3;0;1;fibromyalgia
avita;7;3;3;acne
buspar;7;2;4;anxiety
wellbutrin-xl;9;4;3;depression
retin-a-micro;8;3;3;acne
restasis;10;4;3;dry eyes
prempro;2;1;0;menopausal symptoms
vicodin;10;4;4;cesarean
lipitor;10;4;4;high cholesterol
chantix;2;3;0;quit smoking
cipro;1;0;1;uti
prometrium;9;3;4;menopausal symptoms
lorazepam;10;4;4;insomnia, anxiety
asacol;6;3;4;crohns disease
zoloft;7;4;2;depression
provera;7;3;2;endometrial hyperplasia
propecia;1;3;0;hair loss
remicade;10;4;4;psoriatic arthritis
maxalt;10;4;3;migraine
singulair;9;3;4;asthma
lumigan;4;3;2;eyelash growth
retin-a;8;3;3;acne, anti-aging
claritin;9;3;2;indoor allergies
avita;6;2;3;aging wrinkles
provera;5;3;2;heavy menses
citalopram;2;1;1;depression/anxiety
wellbutrin;8;3;2;depression
yasmin;5;4;1;contraception
innofem;10;4;4;cold chills and hot flashes
adipex-p;7;2;1;obesity
mirtazapine;9;4;2;chronic insomnia
mobic;10;4;4;arthritis
nuvaring;5;3;2;pregnancy prevention
toprol-xl;7;2;4;high blood pressure and
locoid-lipocream;3;0;4;nummular eczema
concerta;8;4;3;adhd
mobic;8;3;3;arthritis pain
zyban;10;4;3;smoking cessation
nuvaring;7;4;2;birth control
prednisolone;10;4;3;sle (lupus), rheumatoid arthritis
actonel;10;3;4;osteoporosis
propecia;7;3;3;male pattern baldness
levora;10;4;3;birth control pill
citalopram;7;2;1;depression
metoprolol;9;4;4;tachacarrdia  rapid heartbeat
lotronex;9;3;4;irritable bowel syndrom
effexor-xr;1;0;1;depression
renova;2;0;1;wrinkles
topamax;7;3;3;migraine
trazodone;8;3;3;hard time getting asleep
celebrex;3;3;1;arthritis
sumatriptan;10;4;4;maigrains
tenormin;10;4;4;high blood pressure
premarin;8;4;3;estrogen replacement therapy
vicodin;10;4;4;pain
lipitor;10;4;4;high cholesterol
prempro;10;4;4;hot flashes, headaches, fatigue, dry vagina
renova;1;1;2;anti aging
nuvaring;8;4;3;irregularity/no babies!
advair-hfa;10;4;4;asthma
premarin;1;0;0;menopause
zoloft;9;4;3;depression
ampicillin;10;4;4;eye infection
strattera;7;3;3;adhd
fosinopril;4;3;2;high blood pressure
vicodin;5;4;4;pain management
dextroamphetamine;9;4;3;add and depression
elmiron;9;3;3;interstitial cystitis
lasix;7;3;1;congestive heart failure and edema
prednisone;5;2;2;pneumonia
prevacid;10;4;4;acid reflux
paxil;10;4;3;depression
accutane;8;3;2;acne
synthroid;7;2;3;hypothyroidism
flagyl;2;1;1;vaginal yeast infection
vyvanse;1;0;2;add
neurontin;10;4;4;neck/shoulder spasms
tylenol;9;3;4;muscle strain
augmentin;10;4;3;bronchial infection
nexium;1;3;1;acid reflux, gerd
crestor;8;2;4;high cholesterol
biaxin;7;1;3;strep throat
differin;7;2;2;acne
metformin;7;3;2;pcos
ambien-cr;8;4;2;insomnia
chantix;4;4;1;smoking cessation
levitra;8;4;4;erictile dysfunction
vyvanse;9;4;3;add
micardis;3;3;1;high blood pressure
nexium;8;4;4;acid reflux
cipro;1;0;2;infection
zovirax-topical;7;3;4;shingles
niacor;3;0;1;high cholesterol
erythromycin;3;4;1;possible pertusis
cymbalta;7;2;2;depression
chantix;7;3;2;smoking cessation
paxil;7;4;2;ptsd, anxiety, depprssion, obsessive remembering
cymbalta;10;4;3;peripheral neuropathy
proscar;6;2;3;alopecia
benicar;9;3;4;high blood pressure
strattera;8;3;2;add
lexapro;10;4;4;major depression
synthroid;8;3;3;hypothyroid
ambien;4;2;2;sleep deprivation
glucophage;7;2;2;diabetes
zoloft;8;3;3;"depression;"
oxazepam;1;0;0;temporary anxiety
seasonique;2;4;1;birth control. prevention of pregnacy
zithromax;8;3;4;strep throat
cymbalta;10;3;3;depression, anxiety & pain
norvasc;9;3;4;high blood preasure
valium;10;4;4;anxiety
humira;8;3;4;rheumatoid arthritis
cipro;9;3;3;uti
tazorac;10;4;3;adult onset acne
oxycodone;3;2;1;pain management
ritalin;8;3;2;add
relafen;5;2;4;pain
mirapex;9;4;3;restless leg syndrome
premarin;3;1;1;memopause
trental;7;2;3;behcet's disease
lamisil;10;4;4;fungus on big toes
effexor-xr;1;0;0;depression
valtrex;10;4;4;herpes cold sores around mouth and nose
avodart;8;3;3;alopecia
triamcinolone;10;3;4;skin exema
differin;5;2;3;acne
symbicort;7;4;2;asthma
lamisil;10;4;4;fungal toenails
niaspan;10;3;3;high cholesterol
premarin;1;2;0;hot flashes / night sweats
valium;10;4;4;anxiety, panic disorder
lorazepam;5;2;3;anxiety
spironolactone;9;3;4;acne
lumigan;7;3;3;cosmetic longer lashes
voltaren;9;4;3;arthritis in knees
proscar;8;3;4;hair loss
topamax;1;0;0;migranes
celebrex;7;3;3;arthritis
bactrim-ds;1;2;1;ballanitis
singulair;10;4;4;severe non-allergic bronchitis and cough
requip;10;4;3;restless legs
effexor;9;4;3;depression
yasmin;10;4;4;birth control
adipex-p;9;3;3;diet
zomig;7;3;2;migraines
fluconazole;1;2;0;systemic fungus
paxil;7;4;1;depression, social anxiety disorder
prinivil;5;2;2;hypertension
synthroid;9;4;4;hypothyroidism
lunesta;1;0;3;insomnia
symbicort;8;3;3;asthma
doxycycline;1;0;1;mastitis
malarone;2;1;1;preventing malaria
klonopin;9;3;3;insomnia
topamax;10;4;3;migraine headaches
motrin;8;3;3;arthritis pain, neck injury
relpax;8;3;3;migraine headaches
nortriptyline;7;3;2;shooting nerve-type pain in legs/fibromyalgia
accutane;10;4;3;acne
diovan;9;4;4;high blood pressure
flonase;3;1;2;allergies
xenical;3;1;4;over weight
lexapro;10;4;4;general depression/perimenopause
mercaptopurine;8;3;3;crohn's disease
allegra;4;1;1;dust allergy
retin-a;10;4;4;acne
tramadol;8;4;3;chronic leg pain due to trauma & surgeries
singulair;8;3;3;chronic sinusitis
adipex-p;8;3;2;weight loss
seasonique;7;4;2;pregnancy prevention
dispermox;10;4;4;ear infection
retin-a;9;4;3;improvement of skin appearance/health
chantix;10;4;3;smoking
doxycycline;10;4;3;anti-malarial
naproxen;1;0;0;rhuematoid arthritis
keflex;7;3;4;polinoidal cyst
clarinex;8;3;3;allergies and asthma
adderall-xr;1;4;0;adhd
ziana;3;1;3;acne / blackheads / oily skin
prinivil;10;4;4;hbp
singulair;9;3;4;asthma/allergies
zoloft;7;2;1;depression/anxiety
biaxin;3;2;2;ear and throat infection
evista;5;2;3;loss of bone density
omacor;8;3;3;high cholesterol
vyvanse;8;3;2;add
aciphex;9;3;4;heart burn
lexapro;8;3;3;depression
zyrtec;8;3;3;water in ear
mobic;3;0;3;bursitis
fluconazole;7;3;1;yeast infection
celebrex;7;2;3;crohn's/colitis
adderall;9;4;3;attention deficit disorder
lamisil;7;3;3;fingernail fungus
finacea;3;2;1;rosacea
desyrel;1;2;1;insomnia
zoloft;1;0;3;depression
retin-a-micro;7;2;2;acne
lortab;6;3;2;oral surgery
amoxil;7;3;2;heart murmur/dental procedures
retin-a-micro;9;4;3;repair and prevent wrinkles
prozac;7;3;2;depression
concerta;9;3;2;add
lopressor;1;2;0;high blood pressure
relpax;8;3;3;migraine
zocor;3;2;3;high cholesterol
arimidex;9;3;4;post breast cancer
cipro;9;4;4;urinary tract infection
retin-a;7;1;3;fine lines around eyes and mouth. between the brow
imuran;10;4;3;crohn's disease
topamax;7;3;1;migraine
zyrtec;8;2;3;allergies
renova;3;1;3;aging skin, wrinkles, sag
lipitor;10;4;4;high cholesterol
ortho-novum;7;4;3;birth control
lithium-carbonate;8;3;2;mania
fioricet;8;3;2;chronic tension headache
nolvadex;10;2;3;breast cancer
nuvaring;9;4;3;birth control
restoril;5;3;3;insomnia
lexapro;10;4;4;ocd
depakene;6;2;2;tonic clonic seizures
methotrexate;8;3;3;juvenile rheumatoid arthritis
nexium;1;4;1;acic reflux
ceclor;1;0;0;upper respiratory infection on vacation
doxycycline;10;4;3;perioral dermatitis
neurontin;2;2;0;post herpatic neuralga
innofem;7;2;4;hot flashes, unable to sleep
retin-a;7;2;3;fine lines
wellbutrin-xl;9;3;3;depression, fatigue
mobic;8;3;4;pain from pinched nerve
vivelle-dot;7;3;3;hot flashes/ over all feel better
azasan;9;4;4;ulcerative colitis
lipitor;9;3;4;high cholesteol
prednisone;5;2;2;asthma
yasmin;10;4;4;birth control, acne control
wellbutrin;7;3;3;depression
zoloft;9;4;2;pms
lamotrigine;8;4;3;seizure-1st and only at age 41
prilosec;1;3;0;heartburn
lyrica;3;1;2;fibromyalgia
prevacid;10;4;4;gerd
evista;2;0;1;osteoporosis/bone stength
lamictal;9;4;4;depresion anxiety obsessive behavior
vagifem;9;4;4;vaginal dryness, menopausal symptoms
ortho-tri-cyclen;8;4;3;birth control
clobex;9;3;4;contact dermatitis
claripel-cream;5;2;3;brown spots
enbrel;10;4;4;rheumatiod arthritis
delestrogen;10;2;4;total hysterectomy
adipex-p;5;3;0;lose weight
spironolactone;3;0;1;pocs, elevated testosterone, hirsutism
adipex-p;6;3;2;weight loss
lumigan;9;3;3;glaucoma
quibron-t;5;1;4;asthma
lexapro;10;4;3;anxiety/depression
corgard;8;4;2;mytral valve prolapse
zoloft;6;2;4;nerves, depression
ortho-tri-cyclen-lo;7;3;1;pregnancy prevention
lotrel;8;4;3;migraine headaches
clarithromycin;10;4;4;lower respiratory tract infection
ranitidine;8;3;4;acid reflux
prevacid;9;4;4;acid reflux
vytorin;1;0;4;high cholesterol
sotret;9;4;3;serious acne
zovirax;5;3;2;cold sores/ herpes i
nuvaring;9;4;3;birth control
accutane;10;4;3;acne
copaxone;8;2;2;multiple sclerosis
provigil;7;2;2;add inattentive, delayed sleep phase syndrome
wellbutrin;8;3;2;bipolar disorder
femara;7;4;2;breast cancer
valtrex;10;4;4;cold sores
aldara;7;3;1;basal cell and squamous cancer
prednisolone;6;4;2;lupus-like systemic autoimmune condition
erythromycin;5;2;2;antibiotic to treat oral infection
oxycontin;7;3;3;pain control
meperidine;8;3;3;painkiller after surgery
lexapro;8;3;3;panic attacks and depression
ortho-tri-cyclen;10;4;4;heavy periods
elavil;9;4;3;hiatus hernia, indigestion, acid reflux
lyrica;7;2;3;pain
effexor-xr;8;3;2;anxiety
wellbutrin-xl;1;2;1;lose weight
paxil;7;3;1;depression
lipitor;1;4;1;cholesterol
naproxen;10;4;4;period cramps
aricept;9;3;4;alzheimers
lunesta;1;3;1;sleeplessness
wellbutrin-sr;1;0;2;depression
coumadin;9;4;3;dvt
topamax;4;3;1;migraines
tramadol;1;1;1;shoulder pain
ambien;6;2;2;sleeplessness
zyrtec;10;4;4;eczyma
effexor-xr;1;0;1;depression
lamictal;9;4;3;mood swings
mobic;10;4;4;rotator cuff tear
imitrex;10;4;3;migraine
tamiflu;9;4;4;flu
mirapex;9;4;3;restless leg syndrome
chantix;10;4;3;after 42 years, quit smoking
doxycycline;8;3;3;acne
depo-provera;1;3;1;birth control
levoxyl;10;4;4;hypothyroid problem
zyrtec;8;3;3;allergies
ambien;1;2;1;insomnia
doxycycline;3;1;1;acne
protonix;8;4;4;acid reflux
betaseron;8;4;1;multiple sclerosis
nortriptyline;3;1;3;panic attacks/feeling low
meridia;10;4;2;obesity
tamiflu;10;4;4;swine flu
premarin;8;3;4;vaginal dryness
citalopram;1;0;1;suicidal feelings
allegra;9;4;2;allergies
doxycycline;3;2;2;sinus infection
ambien;8;3;3;insomnia
klonopin;1;2;0;insommnia
lamictal;7;2;4;depression and anxiety
synthroid;1;0;4;hypothyriod
prilosec;10;3;4;heart burn
lexapro;7;3;3;depression
strattera;10;4;3;adhd
coumadin;1;3;0;leg blood clot, dvt
imitrex;10;4;3;migraines
flonase;10;4;4;allergies
concerta;9;4;3;adult add
prozac;9;4;4;depression/stress
meridia;8;3;4;overweight
climara-pro;10;4;3;insomnia, night sweats, hot flashes
prozac;3;1;1;sleepiness
gonal-f-rff;9;3;3;increase follicle production prior to iui
cipro;1;3;2;throat infection
crestor;10;4;4;very high cholesterol and family history of heart
zegerid;1;0;0;gerd
ambien-cr;1;0;0;insomnia
lipitor;5;2;2;cholesterol
metrogel;1;1;4;rosacea
fosamax;1;0;0;beginning of osteoporosis of the hip
fosamax;4;1;3;osteoporosis
lamictal;8;3;4;mood stabilization
atacand;9;3;3;high blood pressure
vyvanse;9;4;2;adhd
enbrel;10;4;4;rheumatoid arthritis
nitrofurantoin;5;2;2;chronic cystitis
nexium;8;1;4;acid reflux/chronic bronchitis
amitiza;3;1;3;stomach/digestive disorder
cialis;8;3;3;erectile dysfunction
motrin;10;4;4;headaches
oxycontin;10;4;3;kidney stones
zoloft;9;4;3;depression
valtrex;8;3;4;facial herpes simplex
differin;7;2;3;acne
voltaren;10;4;3;bursitis and tennis elbow
symbyax;2;0;2;depression
restasis;8;3;2;severe dry eyes
zmax;7;4;1;std
amoxil;3;3;1;bronchitus
synthroid;4;1;2;hypothyroidism
cymbalta;7;4;2;fibromyalgia
arthrotec;7;2;3;arthritis
aricept;7;3;2;head injury/concussion
ecotrin;8;3;4;skin
flexeril;7;2;1;back pain
propecia;1;0;1;hair loss
lexapro;9;3;3;depression
levetiracetam;3;3;0;right temporal lobe epilepsy
synthroid;8;3;3;hypothyroid
pristiq;8;3;3;depression
cytomel;8;3;4;hypothyroid - hashimoto's disease
sarafem;10;4;4;depression
advair-diskus;9;3;4;asthmatic bronchitis
zoloft;9;4;3;panic attacks
xanax;10;4;4;anxiety attacks
dilantin;9;4;2;seizures
zyrtec;8;3;4;allergy
wellbutrin-xl;10;4;3;depression
wellbutrin-xl;7;2;3;depression
prilosec;9;4;3;barretts disease
synthroid;10;4;4;hypothroidism after radioactive iodine
humira;9;3;4;rheumatoid arthritis
valtrex;8;3;4;chronic cold sores
retin-a-micro;10;4;3;blackheads,large pores,sun damage
diclofenac;7;3;3;back pain slipped disk
fioricet;5;3;2;migraines
synthroid;10;4;4;hypothyroid
prednisone;8;4;4;pneumonia
diclofenac;9;2;3;arthritis
adderall;6;3;2;possible add
lexapro;9;3;3;depression, ptsd
adderall;8;3;3;adhd
keflex;1;3;0;bladder infections
seasonale;8;4;3;birth control
periogard;10;4;4;dental surgery
atacand;9;4;3;hypertension (high blood pressure)
methotrexate;6;2;2;ra
zantac;9;4;4;acid reflux
lunesta;8;3;3;insomnia
amoxil;8;3;4;infected site of oreal surgery
biaxin;7;3;2;severe sinus infection and double ear infections
adipex-p;10;4;3;weight loss
androgel;10;4;3;male andropause
finacea;9;3;4;acne
zocor;1;1;0;high chloresteral
minocycline;1;3;0;acne
ultram;8;3;3;knee pain
cytomel;10;4;4;hypothyroidism
hyzaar;10;4;3;high blood pressure
alendronate;6;2;3;osteopenia
adderall-xr;4;4;0;add
levothroid;9;3;4;hypothyroidism
humira;9;3;4;ra
wellbutrin-xl;8;3;4;depression
celebrex;9;4;4;post shoulder surgery pain
synthroid;10;4;4;low thyroid production
glucophage;8;3;2;pcos
chantix;7;4;2;nicotine addiction
zyvox;9;4;2;mrsa
micardis;4;2;2;high blood pressure
metformin;4;1;2;diabetes
paxil;8;3;4;panic disorder
lexapro;7;2;3;anxiety
renova;7;2;4;adult acne
prozac;7;3;3;depression
strattera;9;3;3;adhd
naprosyn;6;2;2;rheumatoid arthritis
doxycycline;8;4;1;acne with cystic fibrosis genetic condition
prochlorperazine;2;2;1;nausea
lac-hydrin;5;2;4;extremely dry skin
accutane;10;4;3;acne
proscar;8;3;3;hair loss
vytorin;1;0;0;high cholesterol
avita;9;4;4;skin aging/sun damage
propecia;8;4;2;hairloss
allegra;6;3;3;allergies
retin-a-micro;10;4;3;acne
xyrem;10;4;3;insomnia
vioxx;3;0;2;possible arthritis
paxil;7;4;1;anxiety
tirosint;9;4;3;hypothyroidsm
retin-a;7;3;2;sun damage
proscar;8;4;4;hair loss
flonase;5;1;4;allergy
yasmin;4;3;2;birth control
zoloft;10;4;3;anxiety
synthroid;7;3;2;s/p thyroidectomy
propecia;5;2;2;hair loss
percocet;9;4;3;pancreatitis
latisse;10;3;4;eyelash loss
adipex-p;10;4;3;weight loss
norvasc;7;2;2;hypertension
zomig;10;4;3;migraines
enbrel;9;4;3;psoriasis
lexapro;8;4;3;depression
nexium;3;2;2;stomach ulcer
nasonex;6;3;2;allergies
methotrexate;7;2;3;rheumatoid arthritis
finacea;8;3;3;rosacea
effexor;8;3;3;depression
pristiq;2;1;1;stress-related anxiety
innofem;10;4;3;hormone replacement
penicillin-v;9;4;3;strep throat
adipex-p;8;3;2;weight loss
valium;10;4;4;anxiety
ambien-cr;9;4;3;insomnia
abilify;8;4;2;bipolar
naproxen;1;0;0;carpal tunnel
vasotec;7;3;4;high blood pressure
vicodin;10;4;3;pain relief - toothache
propecia;10;4;4;male pattern baldness
zoloft;10;4;1;anxiety
lamictal;7;3;1;bipolar ii
fosamax;5;0;2;osteroporosis
alprazolam;10;4;4;anxiety
levitra;10;4;4;ed
morphine;1;2;0;for tramflap surgery,implant removal
zoloft;7;3;3;ibs, panic attacks, depression
zithromax;8;4;3;sinusitis
dexedrine;8;3;2;adhd
flexeril;6;1;3;upper back / left shoulder and neck pain
lidocaine;10;4;4;nerve and muscle pain
prevacid;7;3;4;severe heartburn
prednisone;9;4;3;polymyalgia
depo-provera;10;4;4;birth control
allegra;9;3;4;allergies
triaz;9;4;4;acne
zyrtec;6;4;2;year round allergies
xanax;1;3;4;anxiety attacks
fluvoxamine;10;4;3;obsessional thoughts ocd
haldol;10;4;4;psychotic out nof control patient
propecia;1;0;0;male pattern bladness
prednisone;8;4;2;ulcerative colitis
effexor;4;2;1;anxiety
divigel;9;3;4;hrt
oxycontin;8;4;2;chronic nerve pain from back surgery
singulair;3;1;4;asthma
lumigan;8;3;4;sparse thin eyelashes
temovate;7;2;4;dyshidrosis
avage;8;4;2;anti aging
nortriptyline;10;4;4;joint/muscular issues - fibro
tussionex;8;4;2;mycoplasma bronchitis
zoloft;7;2;4;anxiety / restlessness
imitrex;8;3;3;migraine
detrol-la;8;4;3;overactive bladder
premarin;10;4;4;symptoms of menopause
celebrex;10;4;4;hip flexor & back pain
panixine-disperdose;9;3;4;impetigo
chantix;10;4;1;stop smoking
solodyn;6;2;2;folliculitis of scalp
prozac;7;3;3;depressio
neurontin;6;2;2;chronic pain (neck and migraines)
effexor-xr;7;2;3;depression
metrolotion;9;3;4;perioral dermamtitis
emsam;9;4;2;"chronic ""atypical"" depression"
aralen;1;2;1;malaria
flonase;10;4;3;chronic sinus infection (long term), post nasal dr
azelex;9;3;2;acne
nuvaring;10;4;4;contraceptive
flonase;10;4;4;chronic sinus infections
flagyl;3;3;1;bacterial vaginosis
lyrica;7;3;3;periferal neuropathy
zantac;7;2;4;acid reflux
elavil;10;4;4;depression, tension headache
prozac;7;3;2;depression, a.d.d., mood instability
keflex;1;4;0;skin wound/infection
imitrex;9;3;3;migraine
ativan;1;0;4;anxiety
erythromycin;6;2;2;sinus infection
neurontin;10;4;2;trigeminal neuralgia plus spinal stenosis etc
lorazepam;3;3;1;anxiety
accutane;10;4;1;moderately severe acne
ortho-tri-cyclen;3;0;2;acne
zithromax;9;3;4;bronchitis
topamax;7;3;2;bipolar ii
ultracet;1;0;0;tooth infection
vivelle-dot;10;4;4;hysterectomy/cessation of menses
septra;4;3;1;urinary tract infection
seasonale;8;4;4;irregular cycles
